id,insId,title,imageUrl,description,prerequisites,category,subcategory,currency,price,validityPeriod,introvideo,openToEveryone,slug,certIssued
1,1,Introduction to Machine Learning,https://example.com/ml-intro.jpg,Comprehensive introduction to ML algorithms and concepts.,Basic Python,Technology,Machine Learning,USD,149,365,https://example.com/v1.mp4,true,intro-machine-learning,true
2,1,Advanced Machine Learning Techniques,https://example.com/adv-ml.jpg,Deep dive into advanced ML concepts and implementations.,ML basics,Technology,Machine Learning,USD,199,365,https://example.com/v2.mp4,false,advanced-ml,true
3,1,Machine Learning for Computer Vision,https://example.com/ml-cv.jpg,Apply ML techniques to computer vision problems.,ML basics,Technology,Machine Learning,USD,179,365,https://example.com/v3.mp4,false,ml-computer-vision,true
4,2,Introduction to Data Science,https://example.com/ds-intro.jpg,Learn fundamentals of data science and analysis.,Basic Math,Technology,Data Science,USD,149,365,https://example.com/v4.mp4,true,intro-data-science,true
5,2,Advanced Data Science and Analytics,https://example.com/adv-ds.jpg,Master advanced data science techniques.,Data Science basics,Technology,Data Science,USD,199,365,https://example.com/v5.mp4,false,advanced-data-science,true
6,2,Data Science for Business Analytics,https://example.com/ds-ba.jpg,Apply data science in business contexts.,Basic Statistics,Business,Data Science,USD,179,365,https://example.com/v6.mp4,true,data-science-business,true
7,3,Introduction to Python Programming,https://example.com/python-intro.jpg,Learn Python programming from scratch.,None,Technology,Programming,USD,99,365,https://example.com/v7.mp4,true,intro-python,true
8,3,Advanced Python Development,https://example.com/adv-python.jpg,Master advanced Python concepts and patterns.,Python basics,Technology,Programming,USD,149,365,https://example.com/v8.mp4,false,advanced-python,true
9,3,Python for Data Analysis,https://example.com/python-data.jpg,Learn data analysis using Python libraries.,Basic Python,Technology,Programming,USD,129,365,https://example.com/v9.mp4,true,python-data-analysis,true
10,4,Web Development Fundamentals,https://example.com/web-dev.jpg,Learn HTML CSS and JavaScript basics.,None,Technology,Web Development,USD,129,365,https://example.com/v10.mp4,true,web-dev-fundamentals,true
11,4,Advanced Web Development,https://example.com/adv-web.jpg,Master modern web development frameworks.,Web basics,Technology,Web Development,USD,199,365,https://example.com/v11.mp4,false,advanced-web-dev,true
12,4,Full Stack Web Development,https://example.com/fullstack.jpg,Learn both frontend and backend development.,Programming basics,Technology,Web Development,USD,249,365,https://example.com/v12.mp4,false,fullstack-web-dev,true
13,5,Digital Marketing Essentials,https://example.com/digital-mkt.jpg,Learn fundamental digital marketing concepts.,None,Business,Digital Marketing,USD,129,180,https://example.com/v13.mp4,true,digital-marketing-essentials,true
14,5,Advanced Digital Marketing Strategies,https://example.com/adv-mkt.jpg,Master advanced marketing techniques.,Marketing basics,Business,Digital Marketing,USD,179,180,https://example.com/v14.mp4,false,advanced-digital-marketing,true
15,5,Social Media Marketing Mastery,https://example.com/social-mkt.jpg,Learn effective social media marketing strategies.,None,Business,Digital Marketing,USD,149,180,https://example.com/v15.mp4,true,social-media-marketing,true
16,6,Introduction to Artificial Intelligence,https://example.com/ai-intro.jpg,Learn AI fundamentals and applications.,Basic Programming,Technology,Artificial Intelligence,USD,199,365,https://example.com/v16.mp4,true,intro-ai,true
17,6,Advanced AI and Deep Learning,https://example.com/adv-ai.jpg,Master deep learning and neural networks.,AI basics,Technology,Artificial Intelligence,USD,249,365,https://example.com/v17.mp4,false,advanced-ai,true
18,6,AI for Business Applications,https://example.com/ai-business.jpg,Apply AI solutions in business contexts.,Basic AI knowledge,Business,Artificial Intelligence,USD,229,365,https://example.com/v18.mp4,false,ai-business,true
19,7,Cloud Computing Fundamentals,https://example.com/cloud-intro.jpg,Learn basic cloud computing concepts.,Basic IT,Technology,Cloud Computing,USD,159,365,https://example.com/v19.mp4,true,cloud-computing-fundamentals,true
20,7,AWS Solutions Architect,https://example.com/aws-arch.jpg,Prepare for AWS certification.,Cloud basics,Technology,Cloud Computing,USD,199,365,https://example.com/v20.mp4,false,aws-architect,true
21,7,Microsoft Azure Development,https://example.com/azure-dev.jpg,Learn Azure cloud development.,Cloud basics,Technology,Cloud Computing,USD,189,365,https://example.com/v21.mp4,false,azure-development,true
22,8,Cybersecurity Fundamentals,https://example.com/cyber-intro.jpg,Learn basic cybersecurity concepts.,Basic IT,Technology,Cybersecurity,USD,179,365,https://example.com/v22.mp4,true,cybersecurity-fundamentals,true
23,8,Advanced Cybersecurity,https://example.com/adv-cyber.jpg,Master advanced security techniques.,Security basics,Technology,Cybersecurity,USD,229,365,https://example.com/v23.mp4,false,advanced-cybersecurity,true
24,8,Network Security Essentials,https://example.com/network-sec.jpg,Learn network security principles.,Networking basics,Technology,Cybersecurity,USD,199,365,https://example.com/v24.mp4,false,network-security,true
25,9,UI/UX Design Basics,https://example.com/uiux-intro.jpg,Learn fundamental design principles.,None,Design,UI/UX Design,USD,149,365,https://example.com/v25.mp4,true,uiux-design-basics,true
26,9,Advanced UI/UX Design,https://example.com/adv-uiux.jpg,Master advanced design techniques.,Design basics,Design,UI/UX Design,USD,199,365,https://example.com/v26.mp4,false,advanced-uiux-design,true
